,Type,Conversion Rate Avg,Bounce Rate Avg
0,Control,0.06775575691594278,0.37053366553539097
1,Variant,0.06421913459688947,0.38813189817967353
2,Aggregate Difference,-0.0035366223190533147,0.017598232644282563
