,Type,Conversion Rate Avg,Bounce Rate Avg
0,Control,0.052776316263241835,0.4019098194171938
1,Variant,0.05424114466643952,0.410119763559401
2,Aggregate Difference,0.001464828403197685,0.008209944142207215
