,Type,Conversion Rate Avg,Bounce Rate Avg
0,Control,0.0761086668394874,0.38972384094342205
1,Variant,0.07550234810710836,0.42170025223052043
2,Aggregate Difference,-0.0006063187323790409,0.03197641128709838
