,Type,Conversion Rate Avg,Bounce Rate Avg
0,Control,0.055182127192582454,0.40921659819325656
1,Variant,0.0553699446040906,0.39996818067793455
2,Aggregate Difference,0.00018781741150814685,-0.009248417515322016
